Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,0.9913685524126455,3.2517470881863373,184.1730449251248
2,0.8587354409317804,3.2384359400998224,183.29950083194674
3,0.9430740432612313,3.272878535773685,185.3594009983361
4,0.8989600665557403,3.2485856905157924,183.96173044925123
5,0.894446755407654,3.1633943427620927,179.22795341098168
6,0.980220465890183,3.3574043261231656,190.02828618968385
7,0.8629991680532446,3.3595673876872243,190.11148086522462
8,0.9786605657237936,3.1707154742096773,179.66056572379367
9,0.8722545757071548,3.322462562396014,188.18302828618968
10,0.8575707154742096,3.3023294509151317,186.5873544093178
