Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,0.7395208333333333,2.2424999999999953,127.91833333333334
2,0.9135191347753744,2.237770382695497,127.75207986688852
3,0.8814891846921796,2.3064891846921873,131.04658901830283
4,0.9171666666666666,2.3088333333333417,131.2
5,0.8527454242928453,2.305823627287861,131.01830282861897
6,0.8474625623960066,2.2945091514143137,130.3993344425957
7,0.925977537437604,2.2214642262895046,126.72046589018302
8,0.8517886855241265,2.235607321131435,127.7720465890183
9,0.8470257903494176,2.2038269550748737,125.40099833610648
10,0.8717083333333335,2.2068333333333303,125.56
