CPU,Native,Flutter,React Native,,RAM,Native,Flutter,React Native,,RSS,Native,Flutter,React Native
1, 0.740, 0.991, 2.845,,1, 2.242, 3.252, 4.036,,1, 127.918, 184.173, 227.676
2, 0.914, 0.859, 2.658,,2, 2.238, 3.238, 4.050,,2, 127.752, 183.300, 228.389
3, 0.881, 0.943, 2.636,,3, 2.306, 3.273, 3.950,,3, 131.047, 185.359, 222.784
4, 0.917, 0.899, 2.681,,4, 2.309, 3.249, 4.070,,4, 131.200, 183.962, 229.473
5, 0.853, 0.894, 2.515,,5, 2.306, 3.163, 4.082,,5, 131.018, 179.228, 230.175
6, 0.847, 0.980, 2.546,,6, 2.295, 3.357, 3.966,,6, 130.399, 190.028, 223.715
7, 0.926, 0.863, 2.441,,7, 2.221, 3.360, 3.995,,7, 126.720, 190.111, 225.356
8, 0.852, 0.979, 2.474,,8, 2.236, 3.171, 3.869,,8, 127.772, 179.661, 218.436
9, 0.847, 0.872, 2.574,,9, 2.204, 3.322, 3.961,,9, 125.401, 188.183, 223.371
10, 0.872, 0.858, 2.481,,10, 2.207, 3.302, 3.974,,10, 125.560, 186.587, 224.141
"Average",0.8648404152800888,0.9138290349417637,2.585103993344426,,"Average",2.2563657515252338,3.268752079866894,3.995191347753753,,"Average",128.4788150305047,185.05923460898504,225.35158069883528
"Max",0.925977537437604,0.9913685524126455,2.8446339434276204,,"Max",2.3088333333333417,3.3595673876872243,4.08153078202996,,"Max",131.2,190.11148086522462,230.1747088186356
"Min",0.7395208333333333,0.8575707154742096,2.4414517470881862,,"Min",2.2038269550748737,3.1633943427620927,3.8692179700499048,,"Min",125.40099833610648,179.22795341098168,218.4359400998336
"SD",0.05,0.05,0.12,,"SD",0.04,0.07,0.06,,"SD",2.16,3.61,3.43
