Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,2.8446339434276204,4.036272878535793,227.67554076539102
2,2.6578618968386025,4.049750415973391,228.38935108153078
3,2.6358153078202995,3.9495840266222912,222.78369384359402
4,2.6807404326123128,4.0702163061564205,229.47254575707154
5,2.5150166389351085,4.08153078202996,230.1747088186356
6,2.545819467554076,3.9663893510815456,223.71547420965058
7,2.4414517470881862,3.994509151414326,225.35607321131448
8,2.474334442595674,3.8692179700499048,218.4359400998336
9,2.5741264559068218,3.9607321131447732,223.3710482529118
10,2.4812396006655573,3.973710482529129,224.1414309484193
