Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,13.477011494252874,2.512643678160921,142.66091954022988
2,13.3046875,2.4846590909090924,141.4659090909091
3,13.36228813559322,2.5327683615819208,144.12994350282486
4,13.379310344827585,2.5270114942528723,143.60344827586206
5,13.403954802259888,2.5288135593220336,143.6949152542373
6,13.346751412429379,2.4734463276836176,140.5593220338983
7,13.230225988700566,2.5028248587570623,142.05649717514123
8,13.333096590909092,2.526136363636365,143.4090909090909
9,13.199573863636363,2.4732954545454557,140.35795454545453
10,13.263494318181818,2.4710227272727274,140.54545454545453
