CPU,Native,Flutter,React Native,,RAM,Native,Flutter,React Native,,RSS,Native,Flutter,React Native
1, 13.477, 12.673, 12.715,,1, 2.513, 3.400, 3.445,,1, 142.661, 193.689, 194.498
2, 13.305, 12.679, 12.737,,2, 2.485, 3.400, 3.547,,2, 141.466, 194.640, 200.195
3, 13.362, 12.702, 12.769,,3, 2.533, 3.394, 3.537,,3, 144.130, 192.404, 199.448
4, 13.379, 12.652, 12.758,,4, 2.527, 3.296, 3.463,,4, 143.603, 186.676, 196.288
5, 13.404, 12.630, 12.731,,5, 2.529, 3.195, 3.453,,5, 143.695, 180.670, 195.192
6, 13.347, 12.590, 12.745,,6, 2.473, 3.292, 3.608,,6, 140.559, 185.664, 203.568
7, 13.230, 12.684, 11.679,,7, 2.503, 3.194, 3.445,,7, 142.056, 180.633, 194.405
8, 13.333, 12.647, 11.749,,8, 2.526, 3.099, 3.465,,8, 143.409, 176.643, 196.196
9, 13.200, 12.612, 11.571,,9, 2.473, 3.492, 3.450,,9, 140.358, 197.504, 195.080
10, 13.263, 12.630, 12.736,,10, 2.471, 3.296, 3.460,,10, 140.545, 187.419, 195.713
"Average",13.33003944507908,12.650011225613525,12.419039192219213,,"Average",2.5032621916122073,3.3057897030787173,3.487278195057437,,"Average",142.24834548731027,187.594066375718,197.05824059645164
"Max",13.477011494252874,12.702354260089686,12.76865671641791,,"Max",2.5327683615819208,3.492035398230089,3.6081180811808315,,"Max",144.12994350282486,197.50442477876106,203.56826568265683
"Min",13.199573863636363,12.590431415929203,11.571013289036545,,"Min",2.4710227272727274,3.099107142857156,3.4445692883895074,,"Min",140.35795454545453,176.64285714285714,194.40531561461793
"SD",0.08,0.03,0.49,,"SD",0.02,0.11,0.05,,"SD",1.38,6.55,2.86
