Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,12.715355805243446,3.4445692883895074,194.49812734082397
2,12.737359550561798,3.547191011235965,200.1947565543071
3,12.76865671641791,3.5369402985074703,199.44776119402985
4,12.757841328413285,3.4627306273062715,196.28782287822878
5,12.73108856088561,3.4527675276752725,195.19188191881918
6,12.745387453874539,3.6081180811808315,203.56826568265683
7,11.678571428571429,3.4451827242524855,194.40531561461793
8,11.74875415282392,3.465448504983385,196.19601328903656
9,11.571013289036545,3.449833887043184,195.0797342192691
10,12.736363636363636,3.4599999999999973,195.71272727272728
