Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,2.5321542553191487,4.90468085106384,276.2106382978723
2,2.4885330578512397,4.880785123966949,274.6611570247934
3,2.570184210526316,4.845894736842109,272.6694736842105
4,2.389236111111111,4.944017094017092,278.4230769230769
5,2.527213541666667,4.909583333333343,276.24583333333334
6,2.5611315789473683,4.917684210526322,276.7621052631579
7,2.47568710359408,4.86849894291755,273.90697674418607
8,2.4371019108280256,4.918259023354577,276.7855626326964
9,2.496260460251046,4.857531380753143,273.36401673640165
10,2.4255263157894738,4.820210526315789,271.2084210526316
