Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,1.4740306122448978,4.738163265306127,266.4551020408163
2,1.4739754098360656,4.7774590163934425,269.1106557377049
3,1.4393041237113402,4.792783505154641,269.8453608247423
4,1.4775358606557378,4.674999999999998,263.44877049180326
5,1.4520186335403729,4.68467908902691,263.80124223602485
6,1.4916492693110648,4.687473903966597,264.3778705636743
7,1.4281704781704783,4.759875259875265,268.16424116424116
8,1.3997979797979798,4.690303030303033,264.15959595959595
9,1.4092708333333335,4.662499999999996,262.6020833333333
10,1.3983887733887734,4.660706860706855,262.3492723492723
