Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,2.6911469344608876,5.384778012685004,302.81606765327695
2,2.6581023454157786,5.3682302771855115,301.87420042643924
3,2.6023997890295356,5.33396624472575,299.8101265822785
4,2.649330835117773,5.3685224839400565,301.99357601713064
5,2.7690638075313805,5.332008368200846,299.80962343096235
6,2.774030398322851,5.347589098532498,300.64570230607967
7,2.7730304621848743,5.311344537815137,298.79411764705884
8,2.7152368421052633,5.311578947368425,298.8231578947368
9,2.626433121019108,5.309129511677284,298.5987261146497
10,2.6616525423728814,5.3199152542373005,299.1631355932203
